100 Block Address,Offense ID,Longitude,Latitude
14XX BLOCK OF S DEAN ST,46,-122.313062945673913,47.59530014
2XX BLOCK OF MELROSE AVE E,2,-122.327857535,47.62020394
S ORCHARD ST / 48TH AVE S,2,-122.272637355,47.53830032
NW 75TH ST / 8TH AVE NW,4,-122.366010341,47.68326297
51XX BLOCK OF LEARY AVE NW,80,-122.38043631815,47.66523531075
43XX BLOCK OF S WARSAW ST,20,-122.27894164385,47.54333578
15XX BLOCK OF N 45TH ST,47,-122.338860036510638,47.661386084255319
69XX BLOCK OF SYLVAN WAY SW,7,-122.369390171857143,47.54059276
12TH AVE NE / NE 62ND ST,4,-122.315657743,47.67333425
33XX BLOCK OF AURORA AVE N,1,-122.347315096,47.65205986
I5 NB COLLECTOR / JAMES ST OFF RP,2,-122.326314881,47.60352527
ELLIOTT BAY SHORE / S ROYAL BROUGHAM WAY,1,-122.342457588,47.59232698
BENTON PL SW / BEACH DR SW,1,-122.418139471,47.57459786
20XX BLOCK OF NE 103RD ST,30,-122.305628479966667,47.70301028
34XX BLOCK OF 25TH AVE S,8,-122.30056950625,47.57261158875
21XX BLOCK OF NW 70TH ST,3,-122.38376082,47.67951403
DENNY WAY / TERRY AVE,11,-122.337150728,47.61852689
NE 117TH ST / 15TH AVE NE,3,-122.312494621,47.71397851
11XX BLOCK OF HUBBELL PL,7,-122.330467034,47.60859739
PRINCETON AVE NE / PULLMAN AVE NE,1,-122.275763204,47.66923543
36XX BLOCK OF 44TH AVE SW,29,-122.388103107,47.57111903
S MCCLELLAN ST / 17TH AVE S,6,-122.310702433,47.57866983
HARVARD AVE / BROADWAY,38,-122.320760065,47.61125935
74XX BLOCK OF SAND POINT WAY NE,315,-122.263683122907936,47.682525025904762
8XX BLOCK OF AURORA AVE N,5,-122.343575482,47.62670593
35XX BLOCK OF W HOWE ST,23,-122.402022055652174,47.635693656956522
NE 71ST ST / 45TH AVE NE,1,-122.279661804,47.68004333
97XX BLOCK OF 51ST AVE S,16,-122.270042694,47.51363907
73XX BLOCK OF ALONZO AVE NW,19,-122.374666857631579,47.682335462105263
SW EDMUNDS ST / 42ND AVE SW,10,-122.385508942,47.55931923
75XX BLOCK OF 41ST AVE NE,11,-122.284174463,47.68394639
32ND AVE NE / NE 120TH ST,1,-122.29405597,47.71555288
NE 63RD ST / 4TH AVE NE,4,-122.324425595,47.67436216
21XX BLOCK OF E JOHN ST,15,-122.3041795554,47.620215902
30XX BLOCK OF S ORCAS ST,2,-122.292851225,47.55084932
24TH AVE NW / NW MARKET ST,56,-122.387576483,47.66867869
23XX BLOCK OF E SPRUCE ST,12,-122.301762841333333,47.60350713
E OLIVE LN / LAKE WASHINGTON BLVD,1,-122.281827595,47.61644757
72XX BLOCK OF 28TH AVE NW,7,-122.393003923,47.68113544
15XX BLOCK OF NE 80TH ST,1,-122.311616785,47.68667634
137XX BLOCK OF STONE AVE N,24,-122.342342925083333,47.72958232
31ST AVE W / W MCGRAW ST,1,-122.396987629,47.63955912
12TH AVE NE / NE CAMPUS PKWY,1,-122.315572187,47.65601221
63XX BLOCK OF BROOKLYN AVE NE,32,-122.3143404606875,47.67456834
6XX BLOCK OF S OTHELLO ST,13,-122.3242108,47.53722659
LAKE CITY WAY NE / NE 110TH ST,1,-122.301354776,47.70842569
