,BlockGroup,crime_count
408,530330106001,864
409,530330106002,1136
410,530330106003,1725
411,530330106004,541
412,530330106005,763
413,530330106006,331
414,530330107011,2097
415,530330107012,1964
416,530330107021,897
417,530330107022,1113
418,530330107023,1850
419,530330108001,1452
420,530330108002,1560
421,530330108003,2040
422,530330109001,2410
423,530330109002,6556
424,530330110011,1032
425,530330110012,2066
426,530330110013,3054
427,530330110021,700
428,530330110022,1814
429,530330110023,480
430,530330111011,657
431,530330111012,1760
432,530330111013,997
433,530330111014,1168
434,530330111021,834
435,530330111022,1229
436,530330111023,512
437,530330111024,2303
438,530330112001,2065
439,530330112002,2234
440,530330112003,3132
441,530330113001,2801
442,530330113002,1759
443,530330113003,1273
444,530330113004,1170
445,530330113005,1090
446,530330114011,737
447,530330114012,1580
448,530330114013,2458
449,530330114021,5362
450,530330114022,2255
451,530330114023,1446
452,530330115001,1176
453,530330115002,1358
454,530330115003,855
455,530330116001,758
456,530330116002,410
457,530330116003,550
458,530330116004,906
459,530330116005,1261
460,530330116006,554
461,530330117001,1576
462,530330117002,1023
463,530330117003,881
464,530330117004,1169
465,530330118001,2069
466,530330118002,1191
467,530330118003,972
468,530330118004,1834
469,530330118005,1200
470,530330118006,6369
471,530330119001,1337
472,530330119002,1260
473,530330119003,876
474,530330119004,1100
475,530330119005,1945
476,530330120001,791
477,530330120002,697
478,530330120003,606
479,530330121001,441
480,530330121002,605
481,530330203005,1
482,530330204025,6
483,530330209001,55
484,530330209002,83
485,530330210001,1
486,530330210002,35
487,530330210003,101
488,530330210004,2
489,530330211002,8
490,530330211003,513
491,530330213001,42
492,530330213002,304
493,530330253022,1
494,530330260011,9
495,530330260012,2
496,530330260014,1
497,530330260015,1
498,530330260024,1
499,530330261001,59
500,530330261002,1
501,530330261003,2
502,530330261004,6
503,530330262001,1
504,530330263001,26
505,530330263002,4
506,530330264001,30
507,530330264002,2
508,530330264004,6
509,530330264005,3
510,530330265001,255
511,530330265002,196
512,530330265003,1
513,530330266001,64
514,530330266002,13
515,530330267001,1
516,530330267003,1
517,530330267004,6
518,530330268011,1
519,530330268013,2
520,530330268021,1
521,530330268022,2
522,530330268023,2
523,530330270003,1
524,530330271001,1
525,530330272002,1
526,530330273001,1
527,530330274001,1
528,530330274003,1
529,530330274004,1
530,530330275003,1
531,530330275004,1
532,530330278003,1
533,560239780001,21
