GISJOIN,BlockGroup,STATEA,COUNTYA,TRACTA,BLKGRPA,ADNEE001,ADNEE002,ADNEE003,ADNEE004,ADNEE005,ADNEE006,ADNEE007,ADNEE008,ADPYE001,ADRKE001,ADRWE001
G53002100205025,530210205025,53,21,20502,5,1700,0,0,0,0,0,20,1680,472,1143,191100
G53002100205026,530210205026,53,21,20502,6,1160,148,66,4,135,114,42,651,524,,118100
G53002100205027,530210205027,53,21,20502,7,929,3,25,0,0,42,44,815,423,,249000
G53002100206011,530210206011,53,21,20601,1,583,12,106,0,0,75,0,390,220,,
G53002100206012,530210206012,53,21,20601,2,3055,129,310,423,162,1,0,2030,926,921,272500
G53002100206013,530210206013,53,21,20601,3,2058,64,228,114,305,0,0,1347,787,981,294100
G53002100206014,530210206014,53,21,20601,4,3680,0,217,111,370,392,120,2470,1055,1506,210100
G53002100206031,530210206031,53,21,20603,1,3130,150,1065,93,302,72,15,1433,930,980,153900
G53002100206032,530210206032,53,21,20603,2,714,0,122,0,12,0,0,580,292,882,176200
G53002100206051,530210206051,53,21,20605,1,3501,57,50,47,2,630,0,2715,1147,1699,185800
G53002100206052,530210206052,53,21,20605,2,1806,28,188,113,155,34,0,1288,534,1238,158800
G53002100206053,530210206053,53,21,20605,3,2824,34,17,76,0,302,0,2395,780,1419,194200
G53002100206061,530210206061,53,21,20606,1,1990,41,147,387,0,263,67,1085,556,866,186400
G53002100206062,530210206062,53,21,20606,2,2127,78,0,14,105,0,0,1930,690,1328,182500
G53002100206063,530210206063,53,21,20606,3,921,26,84,0,0,0,0,811,277,,182100
G53002100206064,530210206064,53,21,20606,4,2561,13,330,162,0,113,136,1807,780,1459,161200
G53002100207001,530210207001,53,21,20700,1,381,30,4,28,2,37,21,259,207,738,150000
G53002100207002,530210207002,53,21,20700,2,1169,17,0,66,0,116,21,949,369,750,208800
G53002100208001,530210208001,53,21,20800,1,2275,246,295,199,181,294,70,990,655,609,94500
G53002100208002,530210208002,53,21,20800,2,1241,204,216,74,0,126,50,571,480,672,157600
G53002100208003,530210208003,53,21,20800,3,815,162,21,46,0,35,5,546,280,537,158800
G53002100208004,530210208004,53,21,20800,4,2804,430,250,177,26,257,366,1298,679,625,156000
G53002100208005,530210208005,53,21,20800,5,467,0,31,63,63,0,0,310,193,537,191700
G53002109801001,530219801001,53,21,980100,1,0,0,0,0,0,0,0,0,0,,
G53002309703001,530239703001,53,23,970300,1,712,13,64,43,15,26,50,501,438,537,142700
G53002309703002,530239703002,53,23,970300,2,918,30,65,30,145,65,49,534,478,662,150000
G53002309703003,530239703003,53,23,970300,3,570,2,78,98,58,35,0,299,323,709,98700
G53002500101001,530250101001,53,25,10100,1,751,42,20,16,1,32,3,637,600,669,222400
G53002500101002,530250101002,53,25,10100,2,1673,59,85,137,19,92,8,1273,727,725,173700
G53002500101003,530250101003,53,25,10100,3,872,44,143,53,109,131,0,392,609,632,113800
G53002500101004,530250101004,53,25,10100,4,834,54,180,10,29,55,8,498,410,554,153400
G53002500102001,530250102001,53,25,10200,1,810,81,62,5,108,122,3,429,397,741,132400
G53002500102002,530250102002,53,25,10200,2,1942,45,97,19,57,16,30,1678,777,763,235600
G53002500103001,530250103001,53,25,10300,1,2505,182,250,85,102,251,43,1592,1269,786,140100
G53002500103002,530250103002,53,25,10300,2,1590,209,296,93,221,97,62,612,858,468,104800
G53002500104001,530250104001,53,25,10400,1,1674,65,287,230,51,41,93,907,704,669,215100
G53002500104002,530250104002,53,25,10400,2,2034,148,91,35,113,144,229,1274,763,696,99600
G53002500104003,530250104003,53,25,10400,3,2136,281,121,0,63,64,128,1479,730,634,131300
G53002500104004,530250104004,53,25,10400,4,1619,49,113,22,0,183,144,1108,629,531,101900
G53002500104005,530250104005,53,25,10400,5,550,60,20,170,0,51,0,249,310,596,124600
G53002500105001,530250105001,53,25,10500,1,2256,168,478,16,175,127,50,1242,1354,783,261900
G53002500105002,530250105002,53,25,10500,2,1205,32,108,121,69,63,36,776,458,823,195000
G53002500106001,530250106001,53,25,10600,1,3952,214,1066,151,350,359,58,1754,1046,645,110200
G53002500106002,530250106002,53,25,10600,2,1948,99,140,14,30,304,101,1260,635,764,154800
G53002500106003,530250106003,53,25,10600,3,1286,188,0,302,102,65,0,629,423,830,130300
G53002500107001,530250107001,53,25,10700,1,979,17,46,4,27,16,15,854,369,1014,195300
G53002500107002,530250107002,53,25,10700,2,1888,93,298,40,210,181,53,1013,1123,640,150000
G53002500108001,530250108001,53,25,10800,1,1792,369,401,56,356,75,122,413,588,659,95200
G53002500108002,530250108002,53,25,10800,2,1210,200,424,258,142,37,0,149,430,631,118800
G53002500108003,530250108003,53,25,10800,3,1367,39,135,349,109,211,8,516,475,840,96400
G53002500109011,530250109011,53,25,10901,1,1318,69,137,118,111,24,30,829,498,707,193800
G53002500109021,530250109021,53,25,10902,1,3476,355,383,534,165,282,234,1523,1422,818,76900
G53002500109022,530250109022,53,25,10902,2,1130,88,23,85,215,114,114,491,466,601,94000
G53002500109023,530250109023,53,25,10902,3,3978,183,360,351,224,302,178,2380,1696,649,213100
G53002500109024,530250109024,53,25,10902,4,1645,0,0,29,51,78,0,1487,570,964,118000
G53002500110001,530250110001,53,25,11000,1,1958,0,280,41,43,226,0,1368,681,,277100
G53002500110002,530250110002,53,25,11000,2,2478,456,223,136,428,275,147,813,839,803,126500
G53002500110003,530250110003,53,25,11000,3,4758,36,238,26,42,370,790,3256,1900,825,185200
G53002500110004,530250110004,53,25,11000,4,2359,0,11,29,47,70,134,2068,933,1138,207200
G53002500111001,530250111001,53,25,11100,1,1531,273,334,30,344,118,0,432,858,661,119300
G53002500111002,530250111002,53,25,11100,2,2478,45,109,57,4,388,0,1875,926,1328,173100
