county,tract,bg,state,BlockGroup,sduni14,sdelm14,sdsec14,sdbest14,sdbesttype14,cd114,hsa,stab,cntyname,eschlnm14,sschlnm14,uschlnm14,bschlnm14,hsaname,intptlon,intptlat,pop14,afact
53033,17.01,2,53,530330017012,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.352992,47.695496,1198.707816,1
53033,17.01,3,53,530330017013,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.352874,47.702299,1184.706736,1
53033,17.02,1,53,530330017021,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.357062,47.699741,1423.802096,1
53033,17.02,2,53,530330017022,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.368359,47.692231,1102.854271,1
53033,17.02,3,53,530330017023,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.368347,47.696452,1081.314149,1
53033,17.02,4,53,530330017024,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.361921,47.697688,952.073414,1
53033,18.00,1,53,530330018001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.337668,47.694449,1604.739125,1
53033,18.00,2,53,530330018002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.34357,47.69211,1614.43218,1
53033,18.00,3,53,530330018003,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.346364,47.695747,1665.051468,1
53033,19.00,1,53,530330019001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.324026,47.699714,1646.742364,1
